"PRENOM","SEXE","ANNEE_NAISSANCE","OCCURRENCE"
"LOUISE","FILLE","2012","70.0"
"MANON","FILLE","2012","60.0"
"CHLOÉ","FILLE","2012","48.0"
"JEANNE","FILLE","2012","48.0"
"ALICE","FILLE","2012","47.0"
"CAMILLE","FILLE","2012","45.0"
"EMMA","FILLE","2012","45.0"
"LÉA","FILLE","2012","45.0"
"ROMANE","FILLE","2012","44.0"
"INÈS","FILLE","2012","43.0"
"JULIETTE","FILLE","2012","43.0"
"JADE","FILLE","2012","42.0"
"LÉONIE","FILLE","2012","35.0"
"LOLA","FILLE","2012","34.0"
"ZOÉ","FILLE","2012","34.0"
"LILOU","FILLE","2012","32.0"
"SARAH","FILLE","2012","28.0"
"ANAÏS","FILLE","2012","26.0"
"ANNA","FILLE","2012","26.0"
"LÉNA","FILLE","2012","26.0"
"MARGOT","FILLE","2012","26.0"
"PAULINE","FILLE","2012","26.0"
"LINA","FILLE","2012","25.0"
"ADÈLE","FILLE","2012","24.0"
"CHARLOTTE","FILLE","2012","24.0"
"LOUNA","FILLE","2012","24.0"
"CLÉMENCE","FILLE","2012","23.0"
"ELISA","FILLE","2012","23.0"
"LUCIE","FILLE","2012","23.0"
"ROSE","FILLE","2012","23.0"
"AMBRE","FILLE","2012","22.0"
"NINA","FILLE","2012","22.0"
"LISE","FILLE","2012","21.0"
"AGATHE","FILLE","2012","20.0"
"ENORA","FILLE","2012","20.0"
"MAËLYS","FILLE","2012","20.0"
"MILA","FILLE","2012","19.0"
"SALOMÉ","FILLE","2012","18.0"
"CAPUCINE","FILLE","2012","17.0"
"CLARA","FILLE","2012","17.0"
"EVA","FILLE","2012","17.0"
"NINON","FILLE","2012","17.0"
"FAUSTINE","FILLE","2012","16.0"
"LILY","FILLE","2012","16.0"
"LISA","FILLE","2012","16.0"
"NORAH","FILLE","2012","16.0"
"LOU","FILLE","2012","15.0"
"MARGAUX","FILLE","2012","15.0"
"MATHILDE","FILLE","2012","15.0"
"SOLINE","FILLE","2012","15.0"
"APOLLINE","FILLE","2012","14.0"
"JOSÉPHINE","FILLE","2012","14.0"
"JULIA","FILLE","2012","14.0"
"THAÏS","FILLE","2012","14.0"
"ZÉLIE","FILLE","2012","14.0"
"INAYA","FILLE","2012","13.0"
"MARIE","FILLE","2012","13.0"
"ALICIA","FILLE","2012","12.0"
"ELISE","FILLE","2012","12.0"
"GABRIELLE","FILLE","2012","12.0"
"HÉLOÏSE","FILLE","2012","12.0"
"LEÏLA","FILLE","2012","12.0"
"LOUISON","FILLE","2012","12.0"
"MARION","FILLE","2012","12.0"
"NOÉMIE","FILLE","2012","12.0"
"OLIVIA","FILLE","2012","12.0"
"ANAËLLE","FILLE","2012","11.0"
"AXELLE","FILLE","2012","11.0"
"LAURA","FILLE","2012","11.0"
"LÉANA","FILLE","2012","11.0"
"LILWENN","FILLE","2012","11.0"
"LOUISA","FILLE","2012","11.0"
"VALENTINE","FILLE","2012","11.0"
"ALIX","FILLE","2012","10.0"
"BÉRÉNICE","FILLE","2012","10.0"
"ELOÏSE","FILLE","2012","10.0"
"ELSA","FILLE","2012","10.0"
"ENOLA","FILLE","2012","10.0"
"LANA","FILLE","2012","10.0"
"LISON","FILLE","2012","10.0"
"MÉLISSA","FILLE","2012","10.0"
"AMANDINE","FILLE","2012","9.0"
"ANAÉ","FILLE","2012","9.0"
"ASSIA","FILLE","2012","9.0"
"CLÉMENTINE","FILLE","2012","9.0"
"DIANE","FILLE","2012","9.0"
"LIA","FILLE","2012","9.0"
"LOUANE","FILLE","2012","9.0"
"LYA","FILLE","2012","9.0"
"MAYA","FILLE","2012","9.0"
"VIOLETTE","FILLE","2012","9.0"
"AYA","FILLE","2012","8.0"
"DAPHNÉ","FILLE","2012","8.0"
"FLAVIE","FILLE","2012","8.0"
"JULIE","FILLE","2012","8.0"
"JUSTINE","FILLE","2012","8.0"
"LILA","FILLE","2012","8.0"
"LUCILE","FILLE","2012","8.0"
"LYLOU","FILLE","2012","8.0"
"MAËLLE","FILLE","2012","8.0"
"MARILOU","FILLE","2012","8.0"
"SELMA","FILLE","2012","8.0"
"SOFIA","FILLE","2012","8.0"
"VICTOIRE","FILLE","2012","8.0"
"YASMINE","FILLE","2012","8.0"
"ALEXIA","FILLE","2012","7.0"
"ALIYA","FILLE","2012","7.0"
"ANOUK","FILLE","2012","7.0"
"CANDICE","FILLE","2012","7.0"
"CLOÉ","FILLE","2012","7.0"
"ÉLÉA","FILLE","2012","7.0"
"EMILIE","FILLE","2012","7.0"
"IZIA","FILLE","2012","7.0"
"LÉANE","FILLE","2012","7.0"
"LILI","FILLE","2012","7.0"
"MALOU","FILLE","2012","7.0"
"MARIA","FILLE","2012","7.0"
"MÉLINE","FILLE","2012","7.0"
"ROXANE","FILLE","2012","7.0"
"SARA","FILLE","2012","7.0"
"SHAYNA","FILLE","2012","7.0"
"SUZIE","FILLE","2012","7.0"
"VICTORIA","FILLE","2012","7.0"
